Instituição,Programa,Nível,Sigla,Tem doutorado,Docentes colaboradores,Docentes permanentes,Docentes visitantes,Resumos em conf,Resumos expandidos em conf,Artigos em conf,Dissertacoes,Teses,periodicos_A1,periodicos_A2,periodicos_B1,periodicos_B2,periodicos_B3,periodicos_B4,periodicos_B5,periodicos_C ,periodicos_NA,per_comaluno_A1,per_comaluno_A2,per_comaluno_B1,per_comaluno_B2,per_comaluno_B3,per_comaluno_B4,per_comaluno_B5,per_comaluno_C ,per_comaluno_NA
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,INFORMÁTICA (31005012004P9),7,PUC/RIO,Sim,0.0,25.25,0.0,29,67,367,146,68,30,47,29,3,11,0,7,14,15,10,21,14,1,7,0,4,9,4
INSTITUTO MILITAR DE ENGENHARIA,SISTEMAS E COMPUTAÇÃO (31007015009P3),3,IME/RJ,Não,0.5,11.25,0.0,5,10,36,55,NA,3,3,2,1,4,3,2,2,15,2,0,2,0,1,1,0,2,8
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,INFORMÁTICA (31021018009P9),4,UNIRIO,Sim,0.5,17.5,0.0,9,24,268,89,NA,8,9,10,2,12,0,8,15,25,2,1,1,0,6,0,4,8,11
UNIVERSIDADE FEDERAL DE MINAS GERAIS,CIÊNCIAS DA COMPUTAÇÃO (32001010004P6),7,UFMG,Sim,4.25,47.5,0.0,29,100,809,213,49,90,95,46,11,26,3,19,6,22,40,42,25,5,16,2,9,1,14
UNIVERSIDADE FEDERAL DE VIÇOSA,CIÊNCIA DA COMPUTAÇÃO (32002017027P2),3,UFV,Não,3.75,10.25,0.0,0,10,161,73,NA,11,5,13,0,1,1,10,3,11,2,2,6,0,1,0,5,3,6
UNIVERSIDADE FEDERAL DE ITAJUBÁ,CIÊNCIA E TECNOLOGIA DA COMPUTAÇÃO (32003013008P4),3,UNIFEI,Não,6.75,10.25,0.0,1,3,126,39,NA,5,2,2,7,7,3,5,5,6,0,0,0,0,1,0,2,3,2
UNIVERSIDADE FEDERAL DE LAVRAS,CIÊNCIA DA COMPUTAÇÃO (32004010027P9),3,UFLA,Não,1.0,9.25,0.0,47,9,111,33,NA,1,3,6,1,0,2,7,4,9,0,1,1,1,0,0,4,0,4
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,CIÊNCIA DA COMPUTAÇÃO (32005016034P8),3,UFJF,Não,5.5,13.5,0.0,21,9,135,58,NA,8,3,8,3,0,5,2,19,17,4,3,2,3,0,4,2,2,5
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,CIÊNCIA DA COMPUTAÇÃO (32006012017P2),4,UFU,Sim,0.0,25.75,0.0,10,14,225,71,4,17,12,19,8,13,7,3,22,3,0,3,7,1,3,0,0,2,1
UNIVERSIDADE FEDERAL DE OURO PRETO,CIÊNCIA DA COMPUTAÇÃO (32007019023P9),4,UFOP,Sim,4.75,11.75,0.0,7,22,187,52,NA,20,11,8,1,8,0,1,6,10,9,5,4,1,4,0,0,2,6
